"REF_DATE","GEO","Labour force characteristics","VALUE"
"2002-06","Manitoba","Part-time employment ",116.3
"2002-06","Manitoba","Unemployment",30.3
"2002-06","Manitoba","Unemployment rate",5.1
"2002-06","Manitoba","Participation rate",69.1
"2002-06","Manitoba","Employment rate",65.5
"2002-06","Saskatchewan","Population",741.3
"2002-06","Saskatchewan","Labour force",494.7
"2002-06","Saskatchewan","Employment",467.2
"2002-06","Saskatchewan","Full-time employment",372.8
"2002-06","Saskatchewan","Part-time employment ",94.5
"2002-06","Saskatchewan","Unemployment",27.4
"2002-06","Saskatchewan","Unemployment rate",5.5
"2002-06","Saskatchewan","Participation rate",66.7
"2002-06","Saskatchewan","Employment rate",63
"2002-06","Alberta","Population",2422.5
"2002-06","Alberta","Labour force",1764.3
"2002-06","Alberta","Employment",1668.8
"2002-06","Alberta","Full-time employment",1375
"2002-06","Alberta","Part-time employment ",293.7
"2002-06","Alberta","Unemployment",95.5
"2002-06","Alberta","Unemployment rate",5.4
"2002-06","Alberta","Participation rate",72.8
"2002-06","Alberta","Employment rate",68.9
"2002-06","British Columbia","Population",3283.5
"2002-06","British Columbia","Labour force",2140.8
"2002-06","British Columbia","Employment",1954.3
"2002-06","British Columbia","Full-time employment",1512.1
"2002-06","British Columbia","Part-time employment ",442.2
"2002-06","British Columbia","Unemployment",186.5
"2002-06","British Columbia","Unemployment rate",8.7
"2002-06","British Columbia","Participation rate",65.2
"2002-06","British Columbia","Employment rate",59.5
"2002-07","Newfoundland and Labrador","Population",425.5
"2002-07","Newfoundland and Labrador","Labour force",247.4
"2002-07","Newfoundland and Labrador","Employment",208.8
"2002-07","Newfoundland and Labrador","Full-time employment",173.2
"2002-07","Newfoundland and Labrador","Part-time employment ",35.6
"2002-07","Newfoundland and Labrador","Unemployment",38.6
"2002-07","Newfoundland and Labrador","Unemployment rate",15.6
"2002-07","Newfoundland and Labrador","Participation rate",58.1
"2002-07","Newfoundland and Labrador","Employment rate",49.1
"2002-07","Prince Edward Island","Population",108.6
"2002-07","Prince Edward Island","Labour force",73.3
"2002-07","Prince Edward Island","Employment",64.2
"2002-07","Prince Edward Island","Full-time employment",54.7
"2002-07","Prince Edward Island","Part-time employment ",9.6
"2002-07","Prince Edward Island","Unemployment",9.1
"2002-07","Prince Edward Island","Unemployment rate",12.4
"2002-07","Prince Edward Island","Participation rate",67.5
"2002-07","Prince Edward Island","Employment rate",59.1
"2002-07","Nova Scotia","Population",747.6
"2002-07","Nova Scotia","Labour force",465.7
"2002-07","Nova Scotia","Employment",419.1
"2002-07","Nova Scotia","Full-time employment",341.6
"2002-07","Nova Scotia","Part-time employment ",77.5
"2002-07","Nova Scotia","Unemployment",46.6
"2002-07","Nova Scotia","Unemployment rate",10
"2002-07","Nova Scotia","Participation rate",62.3
"2002-07","Nova Scotia","Employment rate",56.1
"2002-07","New Brunswick","Population",601.7
"2002-07","New Brunswick","Labour force",379.8
"2002-07","New Brunswick","Employment",341.5
"2002-07","New Brunswick","Full-time employment",287.5
"2002-07","New Brunswick","Part-time employment ",53.9
"2002-07","New Brunswick","Unemployment",38.3
"2002-07","New Brunswick","Unemployment rate",10.1
"2002-07","New Brunswick","Participation rate",63.1
"2002-07","New Brunswick","Employment rate",56.8
"2002-07","Quebec","Population",5990.6
"2002-07","Quebec","Labour force",3934.5
"2002-07","Quebec","Employment",3583.7
"2002-07","Quebec","Full-time employment",2949.7
"2002-07","Quebec","Part-time employment ",633.9
"2002-07","Quebec","Unemployment",350.8
"2002-07","Quebec","Unemployment rate",8.9
"2002-07","Quebec","Participation rate",65.7
"2002-07","Quebec","Employment rate",59.8
"2002-07","Ontario","Population",9603.4
"2002-07","Ontario","Labour force",6480.7
"2002-07","Ontario","Employment",6031.6
"2002-07","Ontario","Full-time employment",4953.8
"2002-07","Ontario","Part-time employment ",1077.8
"2002-07","Ontario","Unemployment",449.1
"2002-07","Ontario","Unemployment rate",6.9
"2002-07","Ontario","Participation rate",67.5
"2002-07","Ontario","Employment rate",62.8
"2002-07","Manitoba","Population",861.5
"2002-07","Manitoba","Labour force",596.2
"2002-07","Manitoba","Employment",566.7
"2002-07","Manitoba","Full-time employment",451
"2002-07","Manitoba","Part-time employment ",115.6
"2002-07","Manitoba","Unemployment",29.5
"2002-07","Manitoba","Unemployment rate",4.9
"2002-07","Manitoba","Participation rate",69.2
"2002-07","Manitoba","Employment rate",65.8
"2002-07","Saskatchewan","Population",741.2
"2002-07","Saskatchewan","Labour force",494.4
"2002-07","Saskatchewan","Employment",467.7
"2002-07","Saskatchewan","Full-time employment",374.1
"2002-07","Saskatchewan","Part-time employment ",93.6
"2002-07","Saskatchewan","Unemployment",26.7
"2002-07","Saskatchewan","Unemployment rate",5.4
"2002-07","Saskatchewan","Participation rate",66.7
"2002-07","Saskatchewan","Employment rate",63.1
"2002-07","Alberta","Population",2429
"2002-07","Alberta","Labour force",1783.1
"2002-07","Alberta","Employment",1687.1
"2002-07","Alberta","Full-time employment",1384.2
"2002-07","Alberta","Part-time employment ",302.9
"2002-07","Alberta","Unemployment",96
"2002-07","Alberta","Unemployment rate",5.4
"2002-07","Alberta","Participation rate",73.4
"2002-07","Alberta","Employment rate",69.5
"2002-07","British Columbia","Population",3286.8
"2002-07","British Columbia","Labour force",2136.6
"2002-07","British Columbia","Employment",1963.5
"2002-07","British Columbia","Full-time employment",1516.7
"2002-07","British Columbia","Part-time employment ",446.7
"2002-07","British Columbia","Unemployment",173.2
"2002-07","British Columbia","Unemployment rate",8.1
"2002-07","British Columbia","Participation rate",65
"2002-07","British Columbia","Employment rate",59.7
"2002-08","Newfoundland and Labrador","Population",425.5
"2002-08","Newfoundland and Labrador","Labour force",248.6
"2002-08","Newfoundland and Labrador","Employment",207.9
"2002-08","Newfoundland and Labrador","Full-time employment",171.8
"2002-08","Newfoundland and Labrador","Part-time employment ",36.1
"2002-08","Newfoundland and Labrador","Unemployment",40.7
"2002-08","Newfoundland and Labrador","Unemployment rate",16.4
"2002-08","Newfoundland and Labrador","Participation rate",58.4
"2002-08","Newfoundland and Labrador","Employment rate",48.9
"2002-08","Prince Edward Island","Population",108.7
"2002-08","Prince Edward Island","Labour force",73.9
"2002-08","Prince Edward Island","Employment",65
"2002-08","Prince Edward Island","Full-time employment",54.3
"2002-08","Prince Edward Island","Part-time employment ",10.7
"2002-08","Prince Edward Island","Unemployment",8.9
"2002-08","Prince Edward Island","Unemployment rate",12
"2002-08","Prince Edward Island","Participation rate",68
"2002-08","Prince Edward Island","Employment rate",59.8
"2002-08","Nova Scotia","Population",748.1
"2002-08","Nova Scotia","Labour force",470.6
"2002-08","Nova Scotia","Employment",426.1
"2002-08","Nova Scotia","Full-time employment",344.4
"2002-08","Nova Scotia","Part-time employment ",81.7
"2002-08","Nova Scotia","Unemployment",44.5
"2002-08","Nova Scotia","Unemployment rate",9.5
"2002-08","Nova Scotia","Participation rate",62.9
"2002-08","Nova Scotia","Employment rate",57
"2002-08","New Brunswick","Population",601.8
"2002-08","New Brunswick","Labour force",381.1
"2002-08","New Brunswick","Employment",344.4
"2002-08","New Brunswick","Full-time employment",289.8
"2002-08","New Brunswick","Part-time employment ",54.6
"2002-08","New Brunswick","Unemployment",36.7
"2002-08","New Brunswick","Unemployment rate",9.6
"2002-08","New Brunswick","Participation rate",63.3
"2002-08","New Brunswick","Employment rate",57.2
"2002-08","Quebec","Population",5993.8
"2002-08","Quebec","Labour force",3915.1
"2002-08","Quebec","Employment",3582.5
"2002-08","Quebec","Full-time employment",2935.2
"2002-08","Quebec","Part-time employment ",647.4
"2002-08","Quebec","Unemployment",332.6
"2002-08","Quebec","Unemployment rate",8.5
"2002-08","Quebec","Participation rate",65.3
"2002-08","Quebec","Employment rate",59.8
"2002-08","Ontario","Population",9615.5
"2002-08","Ontario","Labour force",6539.2
"2002-08","Ontario","Employment",6075.3
"2002-08","Ontario","Full-time employment",4984.9
"2002-08","Ontario","Part-time employment ",1090.4
"2002-08","Ontario","Unemployment",464
"2002-08","Ontario","Unemployment rate",7.1
"2002-08","Ontario","Participation rate",68
"2002-08","Ontario","Employment rate",63.2
"2002-08","Manitoba","Population",861.7
"2002-08","Manitoba","Labour force",594.4
"2002-08","Manitoba","Employment",564.6
"2002-08","Manitoba","Full-time employment",448.3
"2002-08","Manitoba","Part-time employment ",116.3
"2002-08","Manitoba","Unemployment",29.8
"2002-08","Manitoba","Unemployment rate",5
"2002-08","Manitoba","Participation rate",69
"2002-08","Manitoba","Employment rate",65.5
"2002-08","Saskatchewan","Population",741.2
"2002-08","Saskatchewan","Labour force",498.5
"2002-08","Saskatchewan","Employment",472.9
"2002-08","Saskatchewan","Full-time employment",378.1
"2002-08","Saskatchewan","Part-time employment ",94.8
"2002-08","Saskatchewan","Unemployment",25.5
"2002-08","Saskatchewan","Unemployment rate",5.1
"2002-08","Saskatchewan","Participation rate",67.3
"2002-08","Saskatchewan","Employment rate",63.8
"2002-08","Alberta","Population",2433.2
"2002-08","Alberta","Labour force",1783.7
"2002-08","Alberta","Employment",1694.5
"2002-08","Alberta","Full-time employment",1387.4
"2002-08","Alberta","Part-time employment ",307.1
"2002-08","Alberta","Unemployment",89.2
"2002-08","Alberta","Unemployment rate",5
"2002-08","Alberta","Participation rate",73.3
"2002-08","Alberta","Employment rate",69.6
"2002-08","British Columbia","Population",3289.1
"2002-08","British Columbia","Labour force",2145.6
"2002-08","British Columbia","Employment",1981.4
"2002-08","British Columbia","Full-time employment",1537
"2002-08","British Columbia","Part-time employment ",444.4
"2002-08","British Columbia","Unemployment",164.2
"2002-08","British Columbia","Unemployment rate",7.7
"2002-08","British Columbia","Participation rate",65.2
"2002-08","British Columbia","Employment rate",60.2
"2002-09","Newfoundland and Labrador","Population",425.7
"2002-09","Newfoundland and Labrador","Labour force",248.4
"2002-09","Newfoundland and Labrador","Employment",206.5
"2002-09","Newfoundland and Labrador","Full-time employment",172.6
"2002-09","Newfoundland and Labrador","Part-time employment ",33.9
"2002-09","Newfoundland and Labrador","Unemployment",41.8
"2002-09","Newfoundland and Labrador","Unemployment rate",16.8
"2002-09","Newfoundland and Labrador","Participation rate",58.4
"2002-09","Newfoundland and Labrador","Employment rate",48.5
"2002-09","Prince Edward Island","Population",108.8
"2002-09","Prince Edward Island","Labour force",74.4
"2002-09","Prince Edward Island","Employment",65.8
"2002-09","Prince Edward Island","Full-time employment",54.9
"2002-09","Prince Edward Island","Part-time employment ",10.9
"2002-09","Prince Edward Island","Unemployment",8.6
"2002-09","Prince Edward Island","Unemployment rate",11.6
"2002-09","Prince Edward Island","Participation rate",68.4
"2002-09","Prince Edward Island","Employment rate",60.5
"2002-09","Nova Scotia","Population",748.6
"2002-09","Nova Scotia","Labour force",467.9
"2002-09","Nova Scotia","Employment",423.2
"2002-09","Nova Scotia","Full-time employment",340.5
"2002-09","Nova Scotia","Part-time employment ",82.7
"2002-09","Nova Scotia","Unemployment",44.7
"2002-09","Nova Scotia","Unemployment rate",9.6
"2002-09","Nova Scotia","Participation rate",62.5
"2002-09","Nova Scotia","Employment rate",56.5
"2002-09","New Brunswick","Population",601.9
"2002-09","New Brunswick","Labour force",382.6
"2002-09","New Brunswick","Employment",343.8
"2002-09","New Brunswick","Full-time employment",288
"2002-09","New Brunswick","Part-time employment ",55.8
"2002-09","New Brunswick","Unemployment",38.7
"2002-09","New Brunswick","Unemployment rate",10.1
"2002-09","New Brunswick","Participation rate",63.6
"2002-09","New Brunswick","Employment rate",57.1
"2002-09","Quebec","Population",5998.5
"2002-09","Quebec","Labour force",3912.1
"2002-09","Quebec","Employment",3578.7
"2002-09","Quebec","Full-time employment",2941.8
"2002-09","Quebec","Part-time employment ",636.9
"2002-09","Quebec","Unemployment",333.4
"2002-09","Quebec","Unemployment rate",8.5
"2002-09","Quebec","Participation rate",65.2
"2002-09","Quebec","Employment rate",59.7
"2002-09","Ontario","Population",9629.5
"2002-09","Ontario","Labour force",6565.6
"2002-09","Ontario","Employment",6093.5
"2002-09","Ontario","Full-time employment",4974.3
"2002-09","Ontario","Part-time employment ",1119.3
"2002-09","Ontario","Unemployment",472
"2002-09","Ontario","Unemployment rate",7.2
"2002-09","Ontario","Participation rate",68.2
"2002-09","Ontario","Employment rate",63.3
"2002-09","Manitoba","Population",862
"2002-09","Manitoba","Labour force",594.2
"2002-09","Manitoba","Employment",567.6
"2002-09","Manitoba","Full-time employment",454.6
"2002-09","Manitoba","Part-time employment ",113
"2002-09","Manitoba","Unemployment",26.6
"2002-09","Manitoba","Unemployment rate",4.5
"2002-09","Manitoba","Participation rate",68.9
"2002-09","Manitoba","Employment rate",65.8
"2002-09","Saskatchewan","Population",741.4
"2002-09","Saskatchewan","Labour force",501.4
"2002-09","Saskatchewan","Employment",474.6
"2002-09","Saskatchewan","Full-time employment",381.5
"2002-09","Saskatchewan","Part-time employment ",93.1
"2002-09","Saskatchewan","Unemployment",26.8
"2002-09","Saskatchewan","Unemployment rate",5.3
"2002-09","Saskatchewan","Participation rate",67.6
"2002-09","Saskatchewan","Employment rate",64
"2002-09","Alberta","Population",2438.4
"2002-09","Alberta","Labour force",1781.3
"2002-09","Alberta","Employment",1683.4
"2002-09","Alberta","Full-time employment",1387.4
"2002-09","Alberta","Part-time employment ",296
"2002-09","Alberta","Unemployment",97.9
"2002-09","Alberta","Unemployment rate",5.5
"2002-09","Alberta","Participation rate",73.1
"2002-09","Alberta","Employment rate",69
"2002-09","British Columbia","Population",3290.9
"2002-09","British Columbia","Labour force",2154.4
"2002-09","British Columbia","Employment",1985.6
"2002-09","British Columbia","Full-time employment",1535
"2002-09","British Columbia","Part-time employment ",450.6
"2002-09","British Columbia","Unemployment",168.8
"2002-09","British Columbia","Unemployment rate",7.8
"2002-09","British Columbia","Participation rate",65.5
"2002-09","British Columbia","Employment rate",60.3
"2002-10","Newfoundland and Labrador","Population",426
"2002-10","Newfoundland and Labrador","Labour force",249.2
"2002-10","Newfoundland and Labrador","Employment",206.4
"2002-10","Newfoundland and Labrador","Full-time employment",174.6
"2002-10","Newfoundland and Labrador","Part-time employment ",31.8
"2002-10","Newfoundland and Labrador","Unemployment",42.8
"2002-10","Newfoundland and Labrador","Unemployment rate",17.2
"2002-10","Newfoundland and Labrador","Participation rate",58.5
"2002-10","Newfoundland and Labrador","Employment rate",48.5
"2002-10","Prince Edward Island","Population",108.9
"2002-10","Prince Edward Island","Labour force",73.4
"2002-10","Prince Edward Island","Employment",64.8
"2002-10","Prince Edward Island","Full-time employment",54.5
"2002-10","Prince Edward Island","Part-time employment ",10.3
"2002-10","Prince Edward Island","Unemployment",8.6
"2002-10","Prince Edward Island","Unemployment rate",11.7
"2002-10","Prince Edward Island","Participation rate",67.4
"2002-10","Prince Edward Island","Employment rate",59.5
"2002-10","Nova Scotia","Population",749
"2002-10","Nova Scotia","Labour force",469.2
"2002-10","Nova Scotia","Employment",425.6
"2002-10","Nova Scotia","Full-time employment",345.3
"2002-10","Nova Scotia","Part-time employment ",80.3
"2002-10","Nova Scotia","Unemployment",43.6
"2002-10","Nova Scotia","Unemployment rate",9.3
"2002-10","Nova Scotia","Participation rate",62.6
"2002-10","Nova Scotia","Employment rate",56.8
"2002-10","New Brunswick","Population",602
"2002-10","New Brunswick","Labour force",383.2
"2002-10","New Brunswick","Employment",343.7
"2002-10","New Brunswick","Full-time employment",286.4
"2002-10","New Brunswick","Part-time employment ",57.3
"2002-10","New Brunswick","Unemployment",39.4
"2002-10","New Brunswick","Unemployment rate",10.3
"2002-10","New Brunswick","Participation rate",63.7
"2002-10","New Brunswick","Employment rate",57.1
"2002-10","Quebec","Population",6002.9
"2002-10","Quebec","Labour force",3909.1
"2002-10","Quebec","Employment",3580.9
"2002-10","Quebec","Full-time employment",2925.1
"2002-10","Quebec","Part-time employment ",655.8
"2002-10","Quebec","Unemployment",328.2
"2002-10","Quebec","Unemployment rate",8.4
"2002-10","Quebec","Participation rate",65.1
"2002-10","Quebec","Employment rate",59.7
"2002-10","Ontario","Population",9640.4
"2002-10","Ontario","Labour force",6572.6
"2002-10","Ontario","Employment",6103
"2002-10","Ontario","Full-time employment",4974.8
"2002-10","Ontario","Part-time employment ",1128.2
"2002-10","Ontario","Unemployment",469.6
"2002-10","Ontario","Unemployment rate",7.1
"2002-10","Ontario","Participation rate",68.2
"2002-10","Ontario","Employment rate",63.3
"2002-10","Manitoba","Population",862.5
"2002-10","Manitoba","Labour force",597.4
"2002-10","Manitoba","Employment",567.4
"2002-10","Manitoba","Full-time employment",451.6
"2002-10","Manitoba","Part-time employment ",115.8
"2002-10","Manitoba","Unemployment",30
"2002-10","Manitoba","Unemployment rate",5
"2002-10","Manitoba","Participation rate",69.3
"2002-10","Manitoba","Employment rate",65.8
"2002-10","Saskatchewan","Population",741.5
"2002-10","Saskatchewan","Labour force",504.6
"2002-10","Saskatchewan","Employment",475.4
"2002-10","Saskatchewan","Full-time employment",380.9
"2002-10","Saskatchewan","Part-time employment ",94.5
"2002-10","Saskatchewan","Unemployment",29.2
"2002-10","Saskatchewan","Unemployment rate",5.8
"2002-10","Saskatchewan","Participation rate",68.1
"2002-10","Saskatchewan","Employment rate",64.1
"2002-10","Alberta","Population",2442.1
"2002-10","Alberta","Labour force",1782.1
"2002-10","Alberta","Employment",1687.8
"2002-10","Alberta","Full-time employment",1395
"2002-10","Alberta","Part-time employment ",292.7
"2002-10","Alberta","Unemployment",94.3
"2002-10","Alberta","Unemployment rate",5.3
"2002-10","Alberta","Participation rate",73
"2002-10","Alberta","Employment rate",69.1
"2002-10","British Columbia","Population",3292.9
"2002-10","British Columbia","Labour force",2143.6
"2002-10","British Columbia","Employment",1970.5
"2002-10","British Columbia","Full-time employment",1505.7
"2002-10","British Columbia","Part-time employment ",464.9
"2002-10","British Columbia","Unemployment",173
"2002-10","British Columbia","Unemployment rate",8.1
"2002-10","British Columbia","Participation rate",65.1
"2002-10","British Columbia","Employment rate",59.8
"2002-11","Newfoundland and Labrador","Population",426.1
"2002-11","Newfoundland and Labrador","Labour force",250.2
"2002-11","Newfoundland and Labrador","Employment",206.9
"2002-11","Newfoundland and Labrador","Full-time employment",176.5
"2002-11","Newfoundland and Labrador","Part-time employment ",30.4
"2002-11","Newfoundland and Labrador","Unemployment",43.3
"2002-11","Newfoundland and Labrador","Unemployment rate",17.3
"2002-11","Newfoundland and Labrador","Participation rate",58.7
"2002-11","Newfoundland and Labrador","Employment rate",48.6
"2002-11","Prince Edward Island","Population",108.8
"2002-11","Prince Edward Island","Labour force",72.9
"2002-11","Prince Edward Island","Employment",64.6
"2002-11","Prince Edward Island","Full-time employment",54.4
"2002-11","Prince Edward Island","Part-time employment ",10.2
"2002-11","Prince Edward Island","Unemployment",8.3
"2002-11","Prince Edward Island","Unemployment rate",11.4
"2002-11","Prince Edward Island","Participation rate",67
"2002-11","Prince Edward Island","Employment rate",59.4
"2002-11","Nova Scotia","Population",749.4
"2002-11","Nova Scotia","Labour force",470.8
"2002-11","Nova Scotia","Employment",427.7
"2002-11","Nova Scotia","Full-time employment",345.8
"2002-11","Nova Scotia","Part-time employment ",81.9
"2002-11","Nova Scotia","Unemployment",43.1
"2002-11","Nova Scotia","Unemployment rate",9.2
"2002-11","Nova Scotia","Participation rate",62.8
"2002-11","Nova Scotia","Employment rate",57.1
"2002-11","New Brunswick","Population",602.2
"2002-11","New Brunswick","Labour force",383
"2002-11","New Brunswick","Employment",343.5
"2002-11","New Brunswick","Full-time employment",286.2
"2002-11","New Brunswick","Part-time employment ",57.3
"2002-11","New Brunswick","Unemployment",39.5
"2002-11","New Brunswick","Unemployment rate",10.3
"2002-11","New Brunswick","Participation rate",63.6
"2002-11","New Brunswick","Employment rate",57
"2002-11","Quebec","Population",6007
"2002-11","Quebec","Labour force",3915.3
"2002-11","Quebec","Employment",3568.8
"2002-11","Quebec","Full-time employment",2928.8
"2002-11","Quebec","Part-time employment ",640
"2002-11","Quebec","Unemployment",346.5
"2002-11","Quebec","Unemployment rate",8.8
"2002-11","Quebec","Participation rate",65.2
"2002-11","Quebec","Employment rate",59.4
"2002-11","Ontario","Population",9650.8
"2002-11","Ontario","Labour force",6579.3
"2002-11","Ontario","Employment",6138.1
"2002-11","Ontario","Full-time employment",5003.3
"2002-11","Ontario","Part-time employment ",1134.9
"2002-11","Ontario","Unemployment",441.2
"2002-11","Ontario","Unemployment rate",6.7
"2002-11","Ontario","Participation rate",68.2
"2002-11","Ontario","Employment rate",63.6
"2002-11","Manitoba","Population",863
"2002-11","Manitoba","Labour force",599
"2002-11","Manitoba","Employment",568.3
"2002-11","Manitoba","Full-time employment",458.3
"2002-11","Manitoba","Part-time employment ",110
"2002-11","Manitoba","Unemployment",30.6
"2002-11","Manitoba","Unemployment rate",5.1
"2002-11","Manitoba","Participation rate",69.4
"2002-11","Manitoba","Employment rate",65.9
"2002-11","Saskatchewan","Population",741.8
"2002-11","Saskatchewan","Labour force",505
"2002-11","Saskatchewan","Employment",475.9
"2002-11","Saskatchewan","Full-time employment",381.2
"2002-11","Saskatchewan","Part-time employment ",94.7
"2002-11","Saskatchewan","Unemployment",29.1
"2002-11","Saskatchewan","Unemployment rate",5.8
"2002-11","Saskatchewan","Participation rate",68.1
"2002-11","Saskatchewan","Employment rate",64.2
"2002-11","Alberta","Population",2445.8
"2002-11","Alberta","Labour force",1788.4
"2002-11","Alberta","Employment",1695.3
"2002-11","Alberta","Full-time employment",1397.6
"2002-11","Alberta","Part-time employment ",297.7
"2002-11","Alberta","Unemployment",93.1
"2002-11","Alberta","Unemployment rate",5.2
"2002-11","Alberta","Participation rate",73.1
"2002-11","Alberta","Employment rate",69.3
"2002-11","British Columbia","Population",3294.7
"2002-11","British Columbia","Labour force",2158.4
"2002-11","British Columbia","Employment",1975.5
"2002-11","British Columbia","Full-time employment",1520
"2002-11","British Columbia","Part-time employment ",455.6
"2002-11","British Columbia","Unemployment",182.9
"2002-11","British Columbia","Unemployment rate",8.5
"2002-11","British Columbia","Participation rate",65.5
"2002-11","British Columbia","Employment rate",60
"2002-12","Newfoundland and Labrador","Population",426.3
"2002-12","Newfoundland and Labrador","Labour force",252.9
"2002-12","Newfoundland and Labrador","Employment",208.6
"2002-12","Newfoundland and Labrador","Full-time employment",176.8
"2002-12","Newfoundland and Labrador","Part-time employment ",31.8
"2002-12","Newfoundland and Labrador","Unemployment",44.3
"2002-12","Newfoundland and Labrador","Unemployment rate",17.5
"2002-12","Newfoundland and Labrador","Participation rate",59.3
"2002-12","Newfoundland and Labrador","Employment rate",48.9
"2002-12","Prince Edward Island","Population",109
"2002-12","Prince Edward Island","Labour force",72.9
"2002-12","Prince Edward Island","Employment",65
"2002-12","Prince Edward Island","Full-time employment",54.2
"2002-12","Prince Edward Island","Part-time employment ",10.8
"2002-12","Prince Edward Island","Unemployment",7.9
"2002-12","Prince Edward Island","Unemployment rate",10.8
"2002-12","Prince Edward Island","Participation rate",66.9
"2002-12","Prince Edward Island","Employment rate",59.6
"2002-12","Nova Scotia","Population",749.7
"2002-12","Nova Scotia","Labour force",470.3
"2002-12","Nova Scotia","Employment",427.5
"2002-12","Nova Scotia","Full-time employment",346.8
"2002-12","Nova Scotia","Part-time employment ",80.6
"2002-12","Nova Scotia","Unemployment",42.8
"2002-12","Nova Scotia","Unemployment rate",9.1
"2002-12","Nova Scotia","Participation rate",62.7
"2002-12","Nova Scotia","Employment rate",57
"2002-12","New Brunswick","Population",602.4
"2002-12","New Brunswick","Labour force",383.7
"2002-12","New Brunswick","Employment",344.5
"2002-12","New Brunswick","Full-time employment",290.1
"2002-12","New Brunswick","Part-time employment ",54.4
"2002-12","New Brunswick","Unemployment",39.2
"2002-12","New Brunswick","Unemployment rate",10.2
"2002-12","New Brunswick","Participation rate",63.7
"2002-12","New Brunswick","Employment rate",57.2
"2002-12","Quebec","Population",6010.3
"2002-12","Quebec","Labour force",3940.3
"2002-12","Quebec","Employment",3607.3
"2002-12","Quebec","Full-time employment",2970.4
"2002-12","Quebec","Part-time employment ",636.9
"2002-12","Quebec","Unemployment",333
"2002-12","Quebec","Unemployment rate",8.5
"2002-12","Quebec","Participation rate",65.6
"2002-12","Quebec","Employment rate",60
"2002-12","Ontario","Population",9660.7
"2002-12","Ontario","Labour force",6608.3
"2002-12","Ontario","Employment",6146.9
"2002-12","Ontario","Full-time employment",5011.5
"2002-12","Ontario","Part-time employment ",1135.4
"2002-12","Ontario","Unemployment",461.4
"2002-12","Ontario","Unemployment rate",7
"2002-12","Ontario","Participation rate",68.4
"2002-12","Ontario","Employment rate",63.6
"2002-12","Manitoba","Population",863.7
"2002-12","Manitoba","Labour force",599.5
"2002-12","Manitoba","Employment",570
"2002-12","Manitoba","Full-time employment",458.8
"2002-12","Manitoba","Part-time employment ",111.1
"2002-12","Manitoba","Unemployment",29.5
"2002-12","Manitoba","Unemployment rate",4.9
"2002-12","Manitoba","Participation rate",69.4
"2002-12","Manitoba","Employment rate",66
"2002-12","Saskatchewan","Population",742.1
"2002-12","Saskatchewan","Labour force",504
"2002-12","Saskatchewan","Employment",474.2
"2002-12","Saskatchewan","Full-time employment",379.8
"2002-12","Saskatchewan","Part-time employment ",94.4
"2002-12","Saskatchewan","Unemployment",29.8
"2002-12","Saskatchewan","Unemployment rate",5.9
"2002-12","Saskatchewan","Participation rate",67.9
"2002-12","Saskatchewan","Employment rate",63.9
"2002-12","Alberta","Population",2449.3
"2002-12","Alberta","Labour force",1792.8
"2002-12","Alberta","Employment",1703.4
"2002-12","Alberta","Full-time employment",1404.2
"2002-12","Alberta","Part-time employment ",299.2
"2002-12","Alberta","Unemployment",89.4
"2002-12","Alberta","Unemployment rate",5
"2002-12","Alberta","Participation rate",73.2
"2002-12","Alberta","Employment rate",69.5
"2002-12","British Columbia","Population",3296.3
"2002-12","British Columbia","Labour force",2151.8
"2002-12","British Columbia","Employment",1959.7
"2002-12","British Columbia","Full-time employment",1486.3
"2002-12","British Columbia","Part-time employment ",473.4
"2002-12","British Columbia","Unemployment",192.1
"2002-12","British Columbia","Unemployment rate",8.9
"2002-12","British Columbia","Participation rate",65.3
"2002-12","British Columbia","Employment rate",59.5
"2003-01","Newfoundland and Labrador","Population",426.5
"2003-01","Newfoundland and Labrador","Labour force",253.2
"2003-01","Newfoundland and Labrador","Employment",209
"2003-01","Newfoundland and Labrador","Full-time employment",177
"2003-01","Newfoundland and Labrador","Part-time employment ",32
"2003-01","Newfoundland and Labrador","Unemployment",44.2
"2003-01","Newfoundland and Labrador","Unemployment rate",17.5
"2003-01","Newfoundland and Labrador","Participation rate",59.4
"2003-01","Newfoundland and Labrador","Employment rate",49
"2003-01","Prince Edward Island","Population",109.1
"2003-01","Prince Edward Island","Labour force",73
"2003-01","Prince Edward Island","Employment",64.9
"2003-01","Prince Edward Island","Full-time employment",53.8
"2003-01","Prince Edward Island","Part-time employment ",11.1
"2003-01","Prince Edward Island","Unemployment",8.2
"2003-01","Prince Edward Island","Unemployment rate",11.2
"2003-01","Prince Edward Island","Participation rate",66.9
"2003-01","Prince Edward Island","Employment rate",59.5
"2003-01","Nova Scotia","Population",750.1
"2003-01","Nova Scotia","Labour force",472.7
"2003-01","Nova Scotia","Employment",429.7
"2003-01","Nova Scotia","Full-time employment",346.4
"2003-01","Nova Scotia","Part-time employment ",83.4
"2003-01","Nova Scotia","Unemployment",43
"2003-01","Nova Scotia","Unemployment rate",9.1
"2003-01","Nova Scotia","Participation rate",63
"2003-01","Nova Scotia","Employment rate",57.3
"2003-01","New Brunswick","Population",602.5
"2003-01","New Brunswick","Labour force",383.1
"2003-01","New Brunswick","Employment",345
"2003-01","New Brunswick","Full-time employment",290.9
"2003-01","New Brunswick","Part-time employment ",54.1
"2003-01","New Brunswick","Unemployment",38.1
"2003-01","New Brunswick","Unemployment rate",9.9
